animal,Date,day,Clock time,Experiment file,"Total time
Lev1 Out",rewards
S6.2,4/14/2025,d14,14:40:18,stress_cohort.exp,1110.23,40
S6.3,3/31/2025,d01,13:37:40,stress_cohort.exp,2298.02,3
S6.3,4/1/2025,d02,10:50:47,stress_cohort.exp,2310.88,6
S6.3,4/2/2025,d03,14:29:08,stress_cohort.exp,2239.16,3
S6.3,4/3/2025,d04,10:37:50,stress_cohort.exp,2310.08,3
S6.3,4/4/2025,d05,12:08:41,stress_cohort.exp,2246.88,34
S6.3,4/5/2025,d06,13:45:04,stress_cohort.exp,1261.74,20
S6.3,4/7/2025,d07,11:44:46,stress_cohort.exp,1200.21,40
S6.3,4/8/2025,d08,10:32:40,stress_cohort.exp,919.55,40
S6.3,4/9/2025,d09,14:09:45,stress_cohort.exp,1040.31,40
S6.3,4/10/2025,d10,14:55:53,stress_cohort.exp,1816.07,33
S6.3,4/11/2025,d11,14:34:24,stress_cohort.exp,1117.62,40
S6.3,4/12/2025,d12,16:31:09,stress_cohort.exp,1530.56,38
S6.3,4/13/2025,d13,13:42:43,stress_cohort.exp,1602.20,40
S6.3,4/14/2025,d14,14:40:18,stress_cohort.exp,2232.91,40
S6.4,3/31/2025,d01,13:37:40,stress_cohort.exp,1880.57,6
S6.4,4/1/2025,d02,10:50:47,stress_cohort.exp,1638.82,3
S6.4,4/2/2025,d03,14:29:08,stress_cohort.exp,2324.40,3
S6.4,4/3/2025,d04,10:37:50,stress_cohort.exp,2373.31,1
S6.4,4/4/2025,d05,12:08:41,stress_cohort.exp,2200.73,4
S6.4,4/5/2025,d06,13:45:04,stress_cohort.exp,1278.24,5
S6.4,4/7/2025,d07,11:44:46,stress_cohort.exp,1823.81,35
S6.4,4/8/2025,d08,10:32:40,stress_cohort.exp,1934.36,40
S6.4,4/9/2025,d09,14:09:45,stress_cohort.exp,1169.95,39
S6.4,4/10/2025,d10,14:55:53,stress_cohort.exp,1298.20,39
S6.4,4/11/2025,d11,14:34:24,stress_cohort.exp,776.01,40
S6.4,4/12/2025,d12,16:31:09,stress_cohort.exp,1202.69,38
S6.4,4/13/2025,d13,13:42:43,stress_cohort.exp,1700.30,40
S6.4,4/14/2025,d14,14:40:18,stress_cohort.exp,1933.93,36
S7.1,3/31/2025,d01,14:37:06,stress_cohort.exp,1742.47,6
