animal,Date,state,pressing_rate,day,excl
h168.1,6/23/25,pressing_active,5.359056806,d17,
h56.1,10/2/24,pressing_passive,5.184865132,d17,
h165.4,3/9/25,pressing_passive,4.833333333,d17,
h61.1,12/24/24,pressing_passive,3.857049756,d17,
h165.2,3/9/25,pressing_passive,3.747297622,d17,
h165.1,3/9/25,pressing_passive,1.540856031,d17,
h61.3,12/20/24,pressing_active,0.906738198,d17,
h61.4,12/24/24,pressing_passive,0.735679989,d17,
h168.2,6/22/25,pressing_passive,0.554868975,d17,
h168.1,6/23/25,pressing_passive,0.45,d17,
h61.3,12/20/24,pressing_passive,0.129077366,d17,
h168.1,6/24/25,pressing_active,5.537244562,d18,excl
h61.3,12/21/24,pressing_passive,2.174879458,d18,excl
h61.3,12/21/24,pressing_active,1.796855503,d18,excl
h61.1,12/26/24,pressing_active,0.845174562,d18,excl
h61.1,12/26/24,pressing_passive,0.495673705,d18,excl
h168.1,6/24/25,pressing_passive,0.473252471,d18,excl
h168.1,6/25/25,pressing_active,5.687389684,d19,excl
h61.1,12/27/24,pressing_active,1.207063973,d19,excl
h61.1,12/27/24,pressing_passive,0.478681247,d19,excl
h168.1,6/25/25,pressing_passive,0.310161672,d19,excl
h61.3,12/24/24,pressing_active,0.104884103,d19,excl
h61.3,12/24/24,pressing_passive,0.065827729,d19,excl
h61.3,12/25/24,pressing_active,0.104679158,d20,excl
h61.3,12/25/24,pressing_passive,0.065868198,d20,excl
