animal,Date,state,pressing_rate,day,excl
h165.3,21-Feb,pressing_active,4.546258614,d04,
h61.2,11/30/24,pressing_active,4.541476453,d04,
h57.2,9/4/24,pressing_active,4.485819024,d04,
h165.4,21-Feb,pressing_active,3.976353221,d04,
h61.4,11/30/24,pressing_passive,3.693984659,d04,
h165.1,21-Feb,pressing_passive,3.545464354,d04,
h165.1,21-Feb,pressing_active,3.355813412,d04,
h61.1,11/30/24,pressing_passive,3.226649511,d04,
h57.1,9/6/24,pressing_passive,3.157016917,d04,
h56.1,9/4/24,pressing_active,3.06798373,d04,
h168.3,6/8/25,pressing_passive,2.815226011,d04,
h168.2,6/8/25,pressing_passive,2.801393728,d04,
h165.2,21-Feb,pressing_passive,2.719802671,d04,
h57.1,9/6/24,pressing_active,2.047658242,d04,
h165.2,21-Feb,pressing_active,1.901340962,d04,
h57.2,9/4/24,pressing_passive,1.820895522,d04,
h165.4,21-Feb,pressing_passive,1.614211624,d04,
h61.2,11/30/24,pressing_passive,1.415384615,d04,
h56.2,9/6/24,pressing_passive,0.656895348,d04,
h168.2,6/9/25,pressing_active,12.58766409,d05,incl
h168.1,6/9/25,pressing_active,11.89195311,d05,incl
h61.3,12/2/24,pressing_active,10.58847485,d05,incl
h168.3,6/9/25,pressing_active,10.14786895,d05,incl
h56.1,9/5/24,pressing_passive,7.955389635,d05,incl
h56.2,9/7/24,pressing_active,7.25294651,d05,incl
h61.4,12/2/24,pressing_active,6.87154037,d05,incl
h56.1,9/5/24,pressing_active,6.317407017,d05,incl
h165.3,22-Feb,pressing_passive,5.211269226,d05,incl
h165.4,22-Feb,pressing_active,4.700557103,d05,incl
h61.1,12/2/24,pressing_active,4.624979561,d05,incl
h57.2,9/5/24,pressing_active,4.473438956,d05,incl
h61.1,12/2/24,pressing_passive,4.453608247,d05,incl
h168.1,6/9/25,pressing_passive,4.242424242,d05,incl
h61.4,12/2/24,pressing_passive,3.963535474,d05,incl
h61.2,12/2/24,pressing_active,3.82796172,d05,incl
h165.3,22-Feb,pressing_active,3.782953068,d05,incl
h57.1,9/7/24,pressing_passive,3.743565746,d05,incl
h165.4,22-Feb,pressing_passive,3.576197654,d05,incl
h61.3,12/2/24,pressing_passive,3.472392518,d05,incl
h165.1,22-Feb,pressing_passive,3.36175227,d05,incl
h165.1,22-Feb,pressing_active,2.488818352,d05,incl
h57.1,9/7/24,pressing_active,1.86436728,d05,incl
h165.2,22-Feb,pressing_active,1.812371822,d05,incl
h165.2,22-Feb,pressing_passive,1.708978328,d05,incl
h168.3,6/9/25,pressing_passive,1.575,d05,incl
h57.2,9/5/24,pressing_passive,1.370297827,d05,incl
h61.2,12/2/24,pressing_passive,1.064668152,d05,incl
h168.2,6/9/25,pressing_passive,0.985714286,d05,incl
h56.2,9/7/24,pressing_passive,0.516163566,d05,incl
h168.1,6/10/25,pressing_active,14.34916297,d06,incl
h56.2,9/9/24,pressing_active,12.30528834,d06,incl
h168.2,6/10/25,pressing_active,10.57668094,d06,incl
h168.3,6/10/25,pressing_active,8.643042351,d06,incl
h61.3,12/3/24,pressing_active,6.864115927,d06,incl
h165.3,23-Feb,pressing_active,6.44115604,d06,incl
h165.3,23-Feb,pressing_passive,6.082500829,d06,incl
h168.1,6/10/25,pressing_passive,5.960264901,d06,incl
h165.1,23-Feb,pressing_active,5.451770008,d06,incl
h57.1,9/9/24,pressing_active,5.335026993,d06,incl
h165.4,23-Feb,pressing_active,5.158107199,d06,incl
h57.1,9/9/24,pressing_passive,5.013316622,d06,incl
h57.2,9/6/24,pressing_active,4.696889462,d06,incl
h61.1,12/3/24,pressing_passive,4.543650379,d06,incl
h165.4,23-Feb,pressing_passive,4.18589523,d06,incl
h56.1,9/6/24,pressing_passive,3.645589347,d06,incl
h61.1,12/3/24,pressing_active,3.462895958,d06,incl
h61.4,12/3/24,pressing_active,3.457715027,d06,incl
h56.1,9/6/24,pressing_active,3.44650002,d06,incl
h165.1,23-Feb,pressing_passive,2.985915493,d06,incl
h61.2,12/3/24,pressing_active,2.518627348,d06,incl
h165.2,23-Feb,pressing_active,2.342897922,d06,incl
h165.2,23-Feb,pressing_passive,2.314351839,d06,incl
h168.3,6/10/25,pressing_passive,1.928571429,d06,incl
h61.3,12/3/24,pressing_passive,1.865429234,d06,incl
h61.4,12/3/24,pressing_passive,1.845516106,d06,incl
h56.2,9/9/24,pressing_passive,1.671041977,d06,incl
h61.2,12/3/24,pressing_passive,1.366149154,d06,incl
h57.2,9/6/24,pressing_passive,0.528011499,d06,incl
h168.2,6/10/25,pressing_passive,0.496551724,d06,incl
h168.1,6/11/25,pressing_active,12.4784598,d07,incl
h168.2,6/11/25,pressing_active,12.4260355,d07,incl
h165.3,24-Feb,pressing_passive,9.202453988,d07,incl
h168.3,6/11/25,pressing_active,8.820477343,d07,incl
h165.4,24-Feb,pressing_active,8.606204664,d07,incl
h165.3,24-Feb,pressing_active,8.555016906,d07,incl
h56.2,9/10/24,pressing_active,8.197582764,d07,incl
h165.1,24-Feb,pressing_active,7.123956849,d07,incl
h165.4,24-Feb,pressing_passive,7.090909091,d07,incl
h61.3,12/4/24,pressing_active,6.35122261,d07,incl
h57.1,9/10/24,pressing_active,5.89631121,d07,incl
h61.4,12/4/24,pressing_active,5.700855128,d07,incl
h61.1,12/4/24,pressing_active,5.205320995,d07,incl
h57.2,9/7/24,pressing_active,4.936691502,d07,incl
h61.1,12/4/24,pressing_passive,4.742075547,d07,incl
h165.1,24-Feb,pressing_passive,4.63803681,d07,incl
h168.1,6/11/25,pressing_passive,3.810810811,d07,incl
h165.2,24-Feb,pressing_passive,3.634901488,d07,incl
h57.1,9/10/24,pressing_passive,3.498309151,d07,incl
h61.4,12/4/24,pressing_passive,3.240574823,d07,incl
h61.3,12/4/24,pressing_passive,3.234256927,d07,incl
h168.3,6/11/25,pressing_passive,3.0375,d07,incl
h165.2,24-Feb,pressing_active,2.736204967,d07,incl
h56.1,9/7/24,pressing_active,2.113833868,d07,incl
h61.2,12/4/24,pressing_active,1.538658802,d07,incl
h56.1,9/7/24,pressing_passive,1.239989667,d07,incl
h56.2,9/10/24,pressing_passive,1.192280676,d07,incl
h61.2,12/4/24,pressing_passive,0.918737654,d07,incl
h168.2,6/11/25,pressing_passive,0.3,d07,incl
h57.2,9/7/24,pressing_passive,0.285714286,d07,incl
h168.2,6/12/25,pressing_active,12.11002826,d08,incl
h168.3,6/12/25,pressing_active,10.96147823,d08,incl
h56.1,9/9/24,pressing_active,8.927549502,d08,incl
h168.1,6/12/25,pressing_active,8.871506248,d08,incl
h165.3,25-Feb,pressing_passive,8.597014925,d08,incl
h165.3,25-Feb,pressing_active,8.135120477,d08,incl
h56.2,9/11/24,pressing_active,6.890865186,d08,incl
h165.1,25-Feb,pressing_active,6.826160447,d08,incl
h61.3,12/5/24,pressing_active,6.615214994,d08,incl
h165.4,25-Feb,pressing_active,6.56722019,d08,incl
h57.2,9/9/24,pressing_active,6.053065205,d08,incl
h61.2,12/5/24,pressing_active,5.081370597,d08,incl
h165.1,25-Feb,pressing_passive,4.875,d08,incl
h61.1,12/5/24,pressing_active,4.870898636,d08,incl
h168.1,6/12/25,pressing_passive,4.804401452,d08,incl
h165.4,25-Feb,pressing_passive,4.363636364,d08,incl
h61.1,12/5/24,pressing_passive,3.571976726,d08,incl
h56.1,9/9/24,pressing_passive,3.16654761,d08,incl
h168.3,6/12/25,pressing_passive,3.102040816,d08,incl
h165.2,25-Feb,pressing_passive,2.932055672,d08,incl
h57.1,9/11/24,pressing_active,2.79608548,d08,incl
h61.2,12/5/24,pressing_passive,2.553034565,d08,incl
h165.2,25-Feb,pressing_active,2.352273188,d08,incl
h61.3,12/5/24,pressing_passive,1.879681928,d08,incl
h57.1,9/11/24,pressing_passive,1.495361328,d08,incl
h57.2,9/9/24,pressing_passive,1.189444529,d08,incl
h56.2,9/11/24,pressing_passive,0.862415914,d08,incl
h61.4,12/5/24,pressing_passive,0.379842998,d08,incl
h168.2,6/12/25,pressing_passive,0.342857143,d08,incl
h61.4,12/5/24,pressing_active,0.191360092,d08,incl
h168.3,6/13/25,pressing_active,22.71006813,d09,incl
h168.2,6/13/25,pressing_active,15.23980278,d09,incl
h168.1,6/13/25,pressing_active,12.23430549,d09,incl
h165.4,26-Feb,pressing_active,11.32014447,d09,incl
h165.1,26-Feb,pressing_active,10.45504331,d09,incl
h61.3,12/6/24,pressing_active,10.35223647,d09,incl
h165.3,26-Feb,pressing_active,10.15768598,d09,incl
h61.2,12/6/24,pressing_active,7.650091468,d09,incl
h57.2,9/10/24,pressing_active,7.173219979,d09,incl
h165.3,26-Feb,pressing_passive,7.130990415,d09,incl
h165.4,26-Feb,pressing_passive,6.862619808,d09,incl
h61.1,12/6/24,pressing_active,5.4974524,d09,incl
h56.1,9/10/24,pressing_active,4.911476483,d09,incl
h61.1,12/6/24,pressing_passive,4.323194078,d09,incl
h165.1,26-Feb,pressing_passive,4.111888112,d09,incl
h61.2,12/6/24,pressing_passive,4.062985552,d09,incl
h61.3,12/6/24,pressing_passive,3.987215594,d09,incl
h168.3,6/13/25,pressing_passive,3.9,d09,incl
h168.1,6/13/25,pressing_passive,2.999673948,d09,incl
h165.2,26-Feb,pressing_active,2.856298631,d09,incl
h165.2,26-Feb,pressing_passive,2.196503237,d09,incl
h56.2,9/23/24,pressing_active,1.993576254,d09,incl
h57.1,9/23/24,pressing_active,1.879758138,d09,incl
h57.1,9/23/24,pressing_passive,0.635000753,d09,incl
h57.2,9/10/24,pressing_passive,0.607287449,d09,incl
h56.1,9/10/24,pressing_passive,0.596332555,d09,incl
h56.2,9/23/24,pressing_passive,0.50958978,d09,incl
h168.2,6/13/25,pressing_passive,0.170452124,d09,incl
h61.4,12/6/24,pressing_active,0.093974658,d09,incl
h61.4,12/6/24,pressing_passive,0,d09,incl
h168.3,6/14/25,pressing_active,19.11349777,d10,incl
h168.1,6/14/25,pressing_active,17.73049645,d10,incl
h165.4,27-Feb,pressing_active,15.19489201,d10,incl
h165.1,27-Feb,pressing_active,14.93704729,d10,incl
h168.2,6/14/25,pressing_active,14.13760603,d10,incl
h61.3,12/7/24,pressing_active,12.30516817,d10,incl
h165.3,27-Feb,pressing_active,10.83990066,d10,incl
h165.3,27-Feb,pressing_passive,9.767041194,d10,incl
h165.4,27-Feb,pressing_passive,9.32615746,d10,incl
h165.1,27-Feb,pressing_passive,7.566545137,d10,incl
h61.2,12/7/24,pressing_active,5.923159018,d10,incl
h57.2,9/11/24,pressing_active,4.969670394,d10,incl
h56.2,9/24/24,pressing_active,4.601423033,d10,incl
h61.1,12/7/24,pressing_passive,4.352453418,d10,incl
h61.1,12/7/24,pressing_active,4.163967799,d10,incl
h61.3,12/7/24,pressing_passive,3.571245318,d10,incl
h168.1,6/14/25,pressing_passive,3.557142857,d10,incl
h56.1,9/11/24,pressing_active,2.839747865,d10,incl
h165.2,27-Feb,pressing_active,2.721117389,d10,incl
h61.2,12/7/24,pressing_passive,2.61228304,d10,incl
h165.2,27-Feb,pressing_passive,2.489699531,d10,incl
h57.1,9/24/24,pressing_active,2.485672858,d10,incl
h168.3,6/14/25,pressing_passive,2.014285714,d10,incl
h56.1,9/11/24,pressing_passive,1.58778626,d10,incl
h57.1,9/24/24,pressing_passive,0.975946974,d10,incl
h168.2,6/14/25,pressing_passive,0.685714286,d10,incl
h56.2,9/24/24,pressing_passive,0.587234043,d10,incl
h61.4,12/7/24,pressing_passive,0.35879315,d10,incl
h57.2,9/11/24,pressing_passive,0.332497053,d10,incl
h61.4,12/7/24,pressing_active,0.10777217,d10,incl
h168.3,6/15/25,pressing_active,27.58247701,d11,incl
h168.1,6/15/25,pressing_active,27.1348763,d11,incl
h165.4,28-Feb,pressing_active,14.57725948,d11,incl
h168.2,6/15/25,pressing_active,14.30775705,d11,incl
h165.3,28-Feb,pressing_active,12.59899208,d11,incl
h165.3,28-Feb,pressing_passive,12.55081967,d11,incl
h165.1,28-Feb,pressing_active,12.33697568,d11,incl
h165.1,28-Feb,pressing_passive,7.542857143,d11,incl
h165.4,28-Feb,pressing_passive,7.526132404,d11,incl
h61.3,12/8/24,pressing_active,5.715238254,d11,incl
h56.2,9/25/24,pressing_active,5.494801487,d11,incl
h61.4,12/8/24,pressing_active,5.430998468,d11,incl
h168.1,6/15/25,pressing_passive,5.30006073,d11,incl
h61.4,12/8/24,pressing_passive,5.117807453,d11,incl
h61.2,12/8/24,pressing_active,3.770774173,d11,incl
h61.1,12/8/24,pressing_passive,3.710632508,d11,incl
h56.1,9/23/24,pressing_active,3.642513334,d11,incl
h57.1,9/25/24,pressing_active,3.544729487,d11,incl
h61.1,12/8/24,pressing_active,3.484709719,d11,incl
h165.2,28-Feb,pressing_passive,2.465936019,d11,incl
h57.1,9/25/24,pressing_passive,2.143377677,d11,incl
h61.3,12/8/24,pressing_passive,1.993532718,d11,incl
