Subject,Date,Time,Day,IRT_light_active,IRT_light_passive,source_file
th1.2,7/19/24,11:58:25,6,6.5,6.19,h54_irt_light1_reward_light2_no_30min.xls
th1.2,7/20/24,7:57:27,7,10.68,10.65,h54_irt_light1_reward_light2_no_30min.xls
th1.2,7/21/24,10:15:36,8,6.4,12.04,h54_irt_light1_reward_light2_no_30min.xls
th1.2,7/22/24,14:49:53,9,3.4,7.25,h54_h170_irt_light1_reward_light2_no_longer.xls
th1.2,7/23/24,10:23:54,10,2.94,10.54,h54_h170_irt_light1_reward_light2_no_longer.xls
th1.2,7/24/24,10:40:54,11,2.7,9.19,h54_h170_irt_light1_reward_light2_no_longer.xls
th1.2,7/25/24,10:49:16,12,2.87,5.23,h54_h170_irt_light1_reward_light2_no_longer.xls
th1.2,7/25/24,12:34:24,12,5.18,7.17,h54_h170_irt_light1_reward_light2_no_longer.xls
th1.2,7/26/24,8:51:09,13,2.55,10.1,h54_h170_irt_light1_reward_light2_no_longer.xls
th1.3,7/14/24,10:28:17,1,17.8,19.54,h54_irt_light1_reward_light2_no_30min.xls
th1.3,7/15/24,11:54:49,2,15.79,16.25,h54_irt_light1_reward_light2_no_30min.xls
th1.3,7/16/24,11:01:26,3,9.76,12.62,h54_irt_light1_reward_light2_no_30min.xls
th1.3,7/17/24,10:40:47,4,5.33,10.12,h54_irt_light1_reward_light2_no_30min.xls
th1.3,7/18/24,11:47:32,5,8.84,10.41,h54_irt_light1_reward_light2_no_30min.xls
th1.3,7/19/24,12:16:05,6,5.63,12.46,h54_irt_light1_reward_light2_no_30min.xls
th1.3,7/20/24,8:06:47,7,6.4,16.02,h54_irt_light1_reward_light2_no_30min.xls
th1.3,7/21/24,10:34:14,8,6.53,8.48,h54_irt_light1_reward_light2_no_30min.xls
th1.3,7/22/24,15:10:01,9,4.63,12.27,h54_h170_irt_light1_reward_light2_no_longer.xls
th1.3,7/23/24,10:44:41,10,5.65,21.47,h54_h170_irt_light1_reward_light2_no_longer.xls
th1.3,7/24/24,11:03:56,11,9.78,23.02,h54_h170_irt_light1_reward_light2_no_longer.xls
th1.3,7/25/24,11:10:02,12,4.7,18.34,h54_h170_irt_light1_reward_light2_no_longer.xls
th1.3,7/25/24,12:51:07,12,7.61,16.34,h54_h170_irt_light1_reward_light2_no_longer.xls
th1.3,7/26/24,9:10:18,13,4.48,21.26,h54_h170_irt_light1_reward_light2_no_longer.xls
